lead_id,date,campaign_id,channel,region,lead_source,lead_status,deal_value,days_to_convert
LEAD-000051,2025-01-15,CMP-0003,Meta Ads,LATAM,Referral,Qualified,0.0,
LEAD-000052,2025-01-15,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,
LEAD-000053,2025-01-15,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,
LEAD-000054,2025-01-15,CMP-0003,Meta Ads,LATAM,Direct,Proposal,33724.98,
LEAD-000055,2025-01-15,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,
LEAD-000056,2025-01-16,CMP-0003,Meta Ads,LATAM,Referral,Won,24575.72,60.0
LEAD-000057,2025-01-16,CMP-0003,Meta Ads,LATAM,Referral,Won,35160.69,14.0
LEAD-000058,2025-01-16,CMP-0003,Meta Ads,LATAM,Organic,Qualified,0.0,
LEAD-000059,2025-01-16,CMP-0003,Meta Ads,LATAM,Paid,Proposal,17727.57,
LEAD-000060,2025-01-16,CMP-0003,Meta Ads,LATAM,Paid,Won,11022.39,76.0
LEAD-000061,2025-01-17,CMP-0003,Meta Ads,LATAM,Direct,Contacted,0.0,
LEAD-000062,2025-01-17,CMP-0003,Meta Ads,LATAM,Referral,Lost,0.0,
LEAD-000063,2025-01-17,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,
LEAD-000064,2025-01-17,CMP-0003,Meta Ads,LATAM,Paid,Proposal,8124.65,
LEAD-000065,2025-01-17,CMP-0003,Meta Ads,LATAM,Direct,Won,34838.0,63.0
LEAD-000066,2025-01-18,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,
LEAD-000067,2025-01-19,CMP-0003,Meta Ads,LATAM,Referral,Contacted,0.0,
LEAD-000068,2025-01-19,CMP-0003,Meta Ads,LATAM,Referral,Lost,0.0,
LEAD-000069,2025-01-20,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,
LEAD-000070,2025-01-20,CMP-0003,Meta Ads,LATAM,Organic,Contacted,0.0,
LEAD-000071,2025-01-20,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,
LEAD-000072,2025-01-20,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,
LEAD-000073,2025-01-20,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,
LEAD-000074,2025-01-21,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,
LEAD-000075,2025-01-21,CMP-0003,Meta Ads,LATAM,Direct,Contacted,0.0,
LEAD-000076,2025-01-22,CMP-0003,Meta Ads,LATAM,Paid,Won,18405.92,24.0
LEAD-000077,2025-01-22,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,
LEAD-000078,2025-01-22,CMP-0003,Meta Ads,LATAM,Direct,Qualified,0.0,
LEAD-000079,2025-01-22,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,
LEAD-000080,2025-01-22,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,
LEAD-000081,2025-01-23,CMP-0003,Meta Ads,LATAM,Paid,Proposal,33319.29,
LEAD-000082,2025-01-23,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,
LEAD-000083,2025-01-23,CMP-0003,Meta Ads,LATAM,Organic,Won,18183.64,75.0
LEAD-000084,2025-01-23,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,
LEAD-000085,2025-01-24,CMP-0003,Meta Ads,LATAM,Paid,Won,9024.45,61.0
LEAD-000086,2025-01-24,CMP-0003,Meta Ads,LATAM,Direct,New,0.0,
LEAD-000087,2025-01-25,CMP-0003,Meta Ads,LATAM,Referral,Proposal,24274.66,
LEAD-000088,2025-01-25,CMP-0003,Meta Ads,LATAM,Referral,New,0.0,
LEAD-000089,2025-01-25,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,
LEAD-000090,2025-01-25,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,
LEAD-000091,2025-01-25,CMP-0003,Meta Ads,LATAM,Direct,New,0.0,
LEAD-000092,2025-01-26,CMP-0003,Meta Ads,LATAM,Organic,Proposal,14777.1,
LEAD-000093,2025-01-26,CMP-0003,Meta Ads,LATAM,Paid,Proposal,8581.4,
LEAD-000094,2025-01-27,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,
LEAD-000095,2025-01-27,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,
LEAD-000096,2025-01-27,CMP-0003,Meta Ads,LATAM,Organic,Proposal,36885.56,
LEAD-000097,2025-01-27,CMP-0003,Meta Ads,LATAM,Referral,Contacted,0.0,
LEAD-000098,2025-01-27,CMP-0003,Meta Ads,LATAM,Organic,New,0.0,
LEAD-000099,2025-01-28,CMP-0003,Meta Ads,LATAM,Referral,New,0.0,
LEAD-000100,2025-01-28,CMP-0003,Meta Ads,LATAM,Organic,New,0.0,
LEAD-000101,2025-01-28,CMP-0003,Meta Ads,LATAM,Organic,Contacted,0.0,
LEAD-000102,2025-01-28,CMP-0003,Meta Ads,LATAM,Referral,Proposal,28079.17,
LEAD-000103,2025-01-28,CMP-0003,Meta Ads,LATAM,Paid,Proposal,35712.93,
LEAD-000104,2025-01-29,CMP-0003,Meta Ads,LATAM,Organic,Qualified,0.0,
LEAD-000105,2025-01-29,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,
LEAD-000106,2025-01-29,CMP-0003,Meta Ads,LATAM,Paid,Won,23800.3,67.0
LEAD-000107,2025-01-29,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,
LEAD-000108,2025-01-29,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,
LEAD-000109,2025-01-30,CMP-0003,Meta Ads,LATAM,Paid,Proposal,23346.4,
LEAD-000110,2025-01-30,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,
LEAD-000111,2025-01-30,CMP-0003,Meta Ads,LATAM,Paid,Won,19866.42,52.0
LEAD-000112,2025-01-30,CMP-0003,Meta Ads,LATAM,Direct,Contacted,0.0,
LEAD-000113,2025-01-31,CMP-0003,Meta Ads,LATAM,Referral,Won,31631.54,70.0
LEAD-000114,2025-01-31,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,
LEAD-000115,2025-01-31,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,
LEAD-000116,2025-01-31,CMP-0003,Meta Ads,LATAM,Paid,Proposal,19642.73,
LEAD-000117,2025-01-31,CMP-0003,Meta Ads,LATAM,Referral,Contacted,0.0,
LEAD-000118,2025-02-01,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,
LEAD-000119,2025-02-01,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,
LEAD-000120,2025-02-02,CMP-0003,Meta Ads,LATAM,Referral,Qualified,0.0,
LEAD-000121,2025-02-02,CMP-0003,Meta Ads,LATAM,Paid,Won,30348.76,56.0
LEAD-000122,2025-02-02,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,
LEAD-000123,2025-02-02,CMP-0003,Meta Ads,LATAM,Organic,Won,17317.85,89.0
LEAD-000124,2025-02-02,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,
LEAD-000125,2025-02-03,CMP-0003,Meta Ads,LATAM,Paid,Won,15678.78,40.0
LEAD-000126,2025-02-03,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,
LEAD-000127,2025-02-03,CMP-0003,Meta Ads,LATAM,Direct,New,0.0,
LEAD-000128,2025-02-03,CMP-0003,Meta Ads,LATAM,Referral,Contacted,0.0,
LEAD-000129,2025-02-03,CMP-0003,Meta Ads,LATAM,Referral,Contacted,0.0,
LEAD-000130,2025-02-04,CMP-0003,Meta Ads,LATAM,Organic,Proposal,17548.78,
LEAD-000131,2025-02-04,CMP-0003,Meta Ads,LATAM,Referral,Contacted,0.0,
LEAD-000132,2025-02-04,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,
LEAD-000133,2025-02-04,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,
LEAD-000134,2025-02-04,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,
LEAD-000135,2025-02-05,CMP-0003,Meta Ads,LATAM,Organic,Won,25000.08,72.0
LEAD-000136,2025-02-05,CMP-0003,Meta Ads,LATAM,Referral,Lost,0.0,
LEAD-000137,2025-02-05,CMP-0003,Meta Ads,LATAM,Direct,Contacted,0.0,
LEAD-000138,2025-02-05,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,
LEAD-000139,2025-02-06,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,
LEAD-000140,2025-02-06,CMP-0003,Meta Ads,LATAM,Organic,Lost,0.0,
LEAD-000141,2025-02-06,CMP-0003,Meta Ads,LATAM,Organic,Lost,0.0,
LEAD-000142,2025-02-06,CMP-0003,Meta Ads,LATAM,Referral,New,0.0,
LEAD-000143,2025-02-06,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,
LEAD-000144,2025-02-07,CMP-0003,Meta Ads,LATAM,Paid,Proposal,36743.2,
LEAD-000145,2025-02-07,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,
LEAD-000146,2025-02-07,CMP-0003,Meta Ads,LATAM,Direct,New,0.0,
LEAD-000147,2025-02-07,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,
LEAD-000148,2025-02-07,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,
LEAD-000149,2025-02-08,CMP-0003,Meta Ads,LATAM,Direct,Contacted,0.0,
LEAD-000150,2025-02-09,CMP-0003,Meta Ads,LATAM,Paid,Proposal,9429.65,
LEAD-000151,2025-02-09,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,
LEAD-000152,2025-02-09,CMP-0003,Meta Ads,LATAM,Paid,Won,23124.8,65.0
LEAD-000153,2025-02-09,CMP-0003,Meta Ads,LATAM,Direct,Contacted,0.0,
LEAD-000154,2025-02-10,CMP-0003,Meta Ads,LATAM,Paid,Won,17335.74,42.0
LEAD-000155,2025-02-10,CMP-0003,Meta Ads,LATAM,Paid,Proposal,20980.67,
LEAD-000156,2025-02-10,CMP-0003,Meta Ads,LATAM,Direct,Won,34981.66,59.0
LEAD-000157,2025-02-10,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,
LEAD-000158,2025-02-10,CMP-0003,Meta Ads,LATAM,Direct,New,0.0,
LEAD-000159,2023-01-07,CMP-0004,TikTok Ads,North America,Referral,Contacted,0.0,
LEAD-000160,2023-01-09,CMP-0004,TikTok Ads,North America,Paid,New,0.0,
LEAD-000161,2023-01-09,CMP-0004,TikTok Ads,North America,Paid,Proposal,7213.27,
LEAD-000162,2023-01-09,CMP-0004,TikTok Ads,North America,Paid,Contacted,0.0,
LEAD-000163,2023-01-09,CMP-0004,TikTok Ads,North America,Paid,Contacted,0.0,
LEAD-000164,2023-01-09,CMP-0004,TikTok Ads,North America,Paid,Contacted,0.0,
LEAD-000165,2023-01-10,CMP-0004,TikTok Ads,North America,Organic,Contacted,0.0,
LEAD-000166,2023-01-11,CMP-0004,TikTok Ads,North America,Paid,Lost,0.0,
LEAD-000167,2023-01-12,CMP-0004,TikTok Ads,North America,Organic,Won,8397.09,8.0
LEAD-000168,2023-01-13,CMP-0004,TikTok Ads,North America,Organic,Contacted,0.0,
LEAD-000169,2023-01-13,CMP-0004,TikTok Ads,North America,Paid,Proposal,5450.35,
LEAD-000170,2023-01-14,CMP-0004,TikTok Ads,North America,Organic,Proposal,8923.67,
LEAD-000171,2023-01-15,CMP-0004,TikTok Ads,North America,Organic,Contacted,0.0,
LEAD-000172,2023-01-15,CMP-0004,TikTok Ads,North America,Paid,Qualified,0.0,
LEAD-000173,2023-01-16,CMP-0004,TikTok Ads,North America,Paid,Qualified,0.0,
LEAD-000174,2023-01-16,CMP-0004,TikTok Ads,North America,Paid,Proposal,8435.73,
LEAD-000175,2023-01-16,CMP-0004,TikTok Ads,North America,Paid,Qualified,0.0,
LEAD-000176,2023-01-16,CMP-0004,TikTok Ads,North America,Direct,Contacted,0.0,
LEAD-000177,2023-01-17,CMP-0004,TikTok Ads,North America,Paid,Contacted,0.0,
LEAD-000178,2023-01-17,CMP-0004,TikTok Ads,North America,Direct,Qualified,0.0,
LEAD-000179,2023-01-17,CMP-0004,TikTok Ads,North America,Referral,Lost,0.0,
LEAD-000180,2023-01-18,CMP-0004,TikTok Ads,North America,Direct,Proposal,6005.63,
LEAD-000181,2023-01-18,CMP-0004,TikTok Ads,North America,Direct,Won,5286.05,24.0
LEAD-000182,2023-01-18,CMP-0004,TikTok Ads,North America,Paid,Won,7372.95,7.0
LEAD-000183,2023-01-19,CMP-0004,TikTok Ads,North America,Paid,Proposal,3030.85,
LEAD-000184,2023-01-20,CMP-0004,TikTok Ads,North America,Paid,New,0.0,
LEAD-000185,2023-01-20,CMP-0004,TikTok Ads,North America,Referral,Lost,0.0,
LEAD-000186,2023-01-21,CMP-0004,TikTok Ads,North America,Direct,Qualified,0.0,
LEAD-000187,2023-01-23,CMP-0004,TikTok Ads,North America,Organic,Proposal,5928.52,
LEAD-000188,2023-01-24,CMP-0004,TikTok Ads,North America,Paid,New,0.0,
LEAD-000189,2023-01-24,CMP-0004,TikTok Ads,North America,Paid,Qualified,0.0,
LEAD-000190,2023-01-24,CMP-0004,TikTok Ads,North America,Paid,Lost,0.0,
LEAD-000191,2023-01-25,CMP-0004,TikTok Ads,North America,Referral,Won,4363.78,53.0
LEAD-000192,2023-01-25,CMP-0004,TikTok Ads,North America,Paid,Contacted,0.0,
LEAD-000193,2023-01-25,CMP-0004,TikTok Ads,North America,Organic,Contacted,0.0,
LEAD-000194,2023-01-25,CMP-0004,TikTok Ads,North America,Organic,New,0.0,
LEAD-000195,2023-01-25,CMP-0004,TikTok Ads,North America,Paid,Qualified,0.0,
LEAD-000196,2023-01-26,CMP-0004,TikTok Ads,North America,Referral,Lost,0.0,
LEAD-000197,2023-01-26,CMP-0004,TikTok Ads,North America,Direct,Contacted,0.0,
LEAD-000198,2023-01-27,CMP-0004,TikTok Ads,North America,Organic,Qualified,0.0,
LEAD-000199,2023-01-27,CMP-0004,TikTok Ads,North America,Direct,Contacted,0.0,
LEAD-000200,2023-01-27,CMP-0004,TikTok Ads,North America,Paid,Qualified,0.0,
LEAD-000201,2023-01-28,CMP-0004,TikTok Ads,North America,Organic,Won,7756.36,6.0
LEAD-000202,2023-01-30,CMP-0004,TikTok Ads,North America,Organic,Contacted,0.0,
LEAD-000203,2023-01-30,CMP-0004,TikTok Ads,North America,Direct,Proposal,9176.98,
LEAD-000204,2023-01-30,CMP-0004,TikTok Ads,North America,Paid,New,0.0,
LEAD-000205,2023-01-31,CMP-0004,TikTok Ads,North America,Paid,Qualified,0.0,
LEAD-000206,2023-01-31,CMP-0004,TikTok Ads,North America,Referral,Lost,0.0,
LEAD-000207,2023-01-31,CMP-0004,TikTok Ads,North America,Direct,New,0.0,
LEAD-000208,2023-01-31,CMP-0004,TikTok Ads,North America,Referral,Contacted,0.0,
LEAD-000209,2023-02-01,CMP-0004,TikTok Ads,North America,Paid,New,0.0,
LEAD-000210,2023-02-01,CMP-0004,TikTok Ads,North America,Paid,Qualified,0.0,
LEAD-000211,2023-02-02,CMP-0004,TikTok Ads,North America,Organic,Contacted,0.0,
LEAD-000212,2023-02-03,CMP-0004,TikTok Ads,North America,Paid,Contacted,0.0,
LEAD-000213,2023-02-03,CMP-0004,TikTok Ads,North America,Organic,Contacted,0.0,
LEAD-000214,2023-02-03,CMP-0004,TikTok Ads,North America,Paid,Contacted,0.0,
LEAD-000215,2023-02-03,CMP-0004,TikTok Ads,North America,Direct,Lost,0.0,
LEAD-000216,2023-02-04,CMP-0004,TikTok Ads,North America,Organic,Contacted,0.0,
LEAD-000217,2023-02-05,CMP-0004,TikTok Ads,North America,Paid,Proposal,4004.37,
LEAD-000218,2023-02-05,CMP-0004,TikTok Ads,North America,Paid,Contacted,0.0,
LEAD-000219,2023-02-05,CMP-0004,TikTok Ads,North America,Direct,Lost,0.0,
LEAD-000220,2023-02-06,CMP-0004,TikTok Ads,North America,Direct,Proposal,5241.46,
LEAD-000221,2023-02-06,CMP-0004,TikTok Ads,North America,Referral,Proposal,3151.79,
LEAD-000222,2023-02-06,CMP-0004,TikTok Ads,North America,Organic,New,0.0,
LEAD-000223,2023-02-06,CMP-0004,TikTok Ads,North America,Direct,Lost,0.0,
LEAD-000224,2023-02-06,CMP-0004,TikTok Ads,North America,Direct,Won,9340.04,71.0
LEAD-000225,2023-02-07,CMP-0004,TikTok Ads,North America,Paid,Qualified,0.0,
LEAD-000226,2023-02-07,CMP-0004,TikTok Ads,North America,Paid,New,0.0,
LEAD-000227,2023-02-07,CMP-0004,TikTok Ads,North America,Organic,New,0.0,
LEAD-000228,2023-02-07,CMP-0004,TikTok Ads,North America,Paid,New,0.0,
LEAD-000229,2023-02-07,CMP-0004,TikTok Ads,North America,Paid,New,0.0,
LEAD-000230,2023-02-08,CMP-0004,TikTok Ads,North America,Referral,Won,6790.63,31.0
LEAD-000231,2023-02-08,CMP-0004,TikTok Ads,North America,Referral,Contacted,0.0,
LEAD-000232,2023-02-09,CMP-0004,TikTok Ads,North America,Paid,Qualified,0.0,
LEAD-000233,2023-02-09,CMP-0004,TikTok Ads,North America,Paid,Proposal,3850.77,
LEAD-000234,2023-02-09,CMP-0004,TikTok Ads,North America,Paid,Contacted,0.0,
LEAD-000235,2023-02-09,CMP-0004,TikTok Ads,North America,Direct,Proposal,7606.9,
LEAD-000236,2023-02-09,CMP-0004,TikTok Ads,North America,Paid,Won,5348.83,8.0
LEAD-000237,2023-02-10,CMP-0004,TikTok Ads,North America,Organic,Won,6653.45,14.0
LEAD-000238,2023-02-10,CMP-0004,TikTok Ads,North America,Organic,Proposal,3817.62,
LEAD-000239,2023-02-10,CMP-0004,TikTok Ads,North America,Paid,New,0.0,
LEAD-000240,2023-02-10,CMP-0004,TikTok Ads,North America,Paid,Contacted,0.0,
LEAD-000241,2023-02-11,CMP-0004,TikTok Ads,North America,Direct,Contacted,0.0,
LEAD-000242,2023-02-11,CMP-0004,TikTok Ads,North America,Organic,Contacted,0.0,
LEAD-000243,2023-02-11,CMP-0004,TikTok Ads,North America,Referral,New,0.0,
LEAD-000244,2023-02-11,CMP-0004,TikTok Ads,North America,Direct,Contacted,0.0,
LEAD-000245,2023-02-12,CMP-0004,TikTok Ads,North America,Referral,Proposal,2518.35,
LEAD-000246,2023-02-13,CMP-0004,TikTok Ads,North America,Organic,Qualified,0.0,
LEAD-000247,2023-02-14,CMP-0004,TikTok Ads,North America,Organic,Contacted,0.0,
LEAD-000248,2023-02-14,CMP-0004,TikTok Ads,North America,Paid,Contacted,0.0,
LEAD-000249,2023-02-14,CMP-0004,TikTok Ads,North America,Paid,Proposal,7787.24,
LEAD-000250,2023-02-16,CMP-0004,TikTok Ads,North America,Referral,Contacted,0.0,
LEAD-000251,2023-02-16,CMP-0004,TikTok Ads,North America,Paid,New,0.0,
LEAD-000252,2023-02-17,CMP-0004,TikTok Ads,North America,Organic,Proposal,7599.22,
LEAD-000253,2023-02-17,CMP-0004,TikTok Ads,North America,Paid,Proposal,2423.48,
LEAD-000254,2023-02-18,CMP-0004,TikTok Ads,North America,Paid,Qualified,0.0,
LEAD-000255,2023-02-18,CMP-0004,TikTok Ads,North America,Direct,Contacted,0.0,
LEAD-000256,2023-02-19,CMP-0004,TikTok Ads,North America,Direct,Contacted,0.0,
LEAD-000257,2023-02-20,CMP-0004,TikTok Ads,North America,Paid,New,0.0,
LEAD-000258,2023-02-20,CMP-0004,TikTok Ads,North America,Paid,New,0.0,
LEAD-000259,2023-02-20,CMP-0004,TikTok Ads,North America,Paid,Won,7973.53,15.0
LEAD-000260,2023-02-20,CMP-0004,TikTok Ads,North America,Referral,Won,4728.07,80.0
LEAD-000261,2023-02-20,CMP-0004,TikTok Ads,North America,Direct,New,0.0,
LEAD-000262,2023-02-21,CMP-0004,TikTok Ads,North America,Paid,Won,3791.8,81.0
LEAD-000263,2023-02-21,CMP-0004,TikTok Ads,North America,Organic,Won,7958.8,83.0
LEAD-000264,2023-02-21,CMP-0004,TikTok Ads,North America,Paid,Won,6312.61,14.0
LEAD-000265,2023-02-21,CMP-0004,TikTok Ads,North America,Paid,Qualified,0.0,
LEAD-000266,2023-02-21,CMP-0004,TikTok Ads,North America,Paid,Contacted,0.0,
LEAD-000267,2023-02-22,CMP-0004,TikTok Ads,North America,Direct,New,0.0,
LEAD-000268,2023-02-22,CMP-0004,TikTok Ads,North America,Paid,Contacted,0.0,
LEAD-000269,2023-02-23,CMP-0004,TikTok Ads,North America,Organic,Qualified,0.0,
LEAD-000270,2023-02-23,CMP-0004,TikTok Ads,North America,Paid,Proposal,9848.25,
LEAD-000271,2023-02-24,CMP-0004,TikTok Ads,North America,Paid,Proposal,9139.84,
LEAD-000272,2023-02-24,CMP-0004,TikTok Ads,North America,Paid,Proposal,6852.6,
LEAD-000273,2023-02-24,CMP-0004,TikTok Ads,North America,Paid,Contacted,0.0,
LEAD-000274,2023-02-24,CMP-0004,TikTok Ads,North America,Paid,Qualified,0.0,
LEAD-000275,2023-02-26,CMP-0004,TikTok Ads,North America,Paid,Won,4300.18,67.0
LEAD-000276,2023-02-26,CMP-0004,TikTok Ads,North America,Referral,Qualified,0.0,
LEAD-000277,2023-02-26,CMP-0004,TikTok Ads,North America,Paid,Proposal,2345.28,
LEAD-000278,2023-02-26,CMP-0004,TikTok Ads,North America,Direct,Proposal,7035.84,
LEAD-000279,2023-02-27,CMP-0004,TikTok Ads,North America,Direct,Won,8624.28,43.0
LEAD-000280,2023-02-27,CMP-0004,TikTok Ads,North America,Direct,Qualified,0.0,
LEAD-000281,2023-02-27,CMP-0004,TikTok Ads,North America,Organic,Contacted,0.0,
LEAD-000282,2023-02-27,CMP-0004,TikTok Ads,North America,Direct,Qualified,0.0,
LEAD-000283,2023-02-27,CMP-0004,TikTok Ads,North America,Paid,Contacted,0.0,
LEAD-000284,2023-02-28,CMP-0004,TikTok Ads,North America,Paid,Qualified,0.0,
LEAD-000285,2023-02-28,CMP-0004,TikTok Ads,North America,Direct,Won,5751.79,42.0
LEAD-000286,2023-02-28,CMP-0004,TikTok Ads,North America,Paid,Contacted,0.0,
LEAD-000287,2023-03-01,CMP-0004,TikTok Ads,North America,Paid,Proposal,5601.33,
LEAD-000288,2023-03-02,CMP-0004,TikTok Ads,North America,Referral,Won,5285.36,81.0
LEAD-000289,2023-03-02,CMP-0004,TikTok Ads,North America,Referral,Proposal,8301.09,
LEAD-000290,2023-03-02,CMP-0004,TikTok Ads,North America,Paid,New,0.0,
LEAD-000291,2023-03-02,CMP-0004,TikTok Ads,North America,Direct,Qualified,0.0,
LEAD-000292,2023-03-02,CMP-0004,TikTok Ads,North America,Paid,Proposal,2211.12,
LEAD-000293,2023-03-03,CMP-0004,TikTok Ads,North America,Paid,Lost,0.0,
