date,campaign_id,impressions,clicks,conversions,spend,revenue,likes,shares,bounce_rate,avg_session_duration_sec
2023-06-15,CMP-0001,993,4,0,2.77,0.0,1,0,0.6611,129.2
2023-06-16,CMP-0001,973,5,0,1.11,0.0,0,0,0.5314,101.6
2023-06-17,CMP-0001,620,1,0,14.91,0.0,0,0,0.6454,79.3
2023-06-18,CMP-0001,589,0,0,7.84,0.0,0,0,0.745,102.0
2023-06-19,CMP-0001,999,6,0,9.32,0.0,1,0,0.3539,75.1
2023-06-20,CMP-0001,917,6,0,9.91,0.0,0,0,0.2513,143.4
2023-06-21,CMP-0001,924,4,0,8.91,0.0,0,0,0.6015,144.4
2023-06-22,CMP-0001,977,6,0,10.31,0.0,2,0,0.5806,281.1
2023-06-23,CMP-0001,994,5,0,6.38,0.0,1,0,0.6633,35.4
2023-06-24,CMP-0001,583,1,0,2.49,0.0,0,0,0.3943,50.4
2023-06-25,CMP-0001,623,2,0,10.33,0.0,0,0,0.4969,37.9
2023-06-26,CMP-0001,937,5,0,0.6,0.0,0,0,0.2957,289.1
2023-06-27,CMP-0001,899,4,0,12.54,0.0,1,0,0.5861,91.8
2023-06-28,CMP-0001,947,5,0,0.6,0.0,1,0,0.708,66.7
2023-06-29,CMP-0001,932,5,0,8.78,0.0,1,0,0.424,110.0
2023-06-30,CMP-0001,924,3,0,10.05,0.0,0,0,0.3941,284.4
2023-07-01,CMP-0001,566,1,0,12.2,0.0,0,0,0.4116,291.5
2023-07-02,CMP-0001,536,1,0,6.06,0.0,0,0,0.5213,132.8
2023-07-03,CMP-0001,895,5,0,2.81,0.0,1,0,0.63,73.0
2023-02-02,CMP-0002,932,5,0,8.24,0.0,1,0,0.3107,292.3
2023-02-03,CMP-0002,959,4,0,9.13,0.0,0,0,0.5261,41.6
2023-02-04,CMP-0002,613,1,0,14.88,0.0,0,0,0.6661,157.0
2023-02-05,CMP-0002,602,1,0,10.75,0.0,0,0,0.7401,84.5
2023-02-06,CMP-0002,964,4,0,8.27,0.0,1,0,0.6897,261.2
2023-02-07,CMP-0002,1012,6,0,4.14,0.0,1,0,0.5039,248.9
2023-02-08,CMP-0002,1005,4,0,4.24,0.0,1,0,0.4948,57.3
2023-02-09,CMP-0002,921,4,0,8.08,0.0,1,0,0.4777,106.7
2023-02-10,CMP-0002,948,5,0,2.83,0.0,1,0,0.6378,27.4
2023-02-11,CMP-0002,568,2,0,11.17,0.0,0,0,0.5818,248.9
2023-02-12,CMP-0002,592,2,0,14.71,0.0,0,0,0.5451,262.9
2023-02-13,CMP-0002,968,6,0,13.11,0.0,1,0,0.6112,131.8
2023-02-14,CMP-0002,960,5,0,9.82,0.0,1,0,0.4193,212.4
2023-02-15,CMP-0002,908,5,0,9.75,0.0,1,0,0.44,105.2
2023-02-16,CMP-0002,950,5,0,10.78,0.0,1,0,0.2842,194.9
2023-02-17,CMP-0002,960,4,0,13.81,0.0,1,0,0.2992,195.6
2023-02-18,CMP-0002,590,1,0,13.09,0.0,0,0,0.273,241.9
2023-02-19,CMP-0002,611,2,0,4.4,0.0,0,0,0.533,240.9
2023-02-20,CMP-0002,892,5,0,2.55,0.0,1,0,0.3704,275.2
2023-02-21,CMP-0002,922,6,0,2.15,0.0,1,0,0.2547,244.3
2023-02-22,CMP-0002,994,5,0,13.52,0.0,0,0,0.4228,182.5
2023-02-23,CMP-0002,976,5,0,9.58,0.0,0,0,0.3496,124.6
2023-02-24,CMP-0002,912,4,0,7.25,0.0,1,0,0.7463,99.1
2023-02-25,CMP-0002,587,3,0,14.67,0.0,0,0,0.5929,227.2
2023-02-26,CMP-0002,637,1,0,0.74,0.0,0,0,0.3931,242.7
2023-02-27,CMP-0002,938,5,0,9.11,0.0,1,0,0.5889,220.5
2023-02-28,CMP-0002,986,4,0,9.89,0.0,1,0,0.5732,103.0
2023-03-01,CMP-0002,955,3,0,6.61,0.0,0,0,0.3976,228.0
2023-03-02,CMP-0002,1001,5,0,2.63,0.0,1,0,0.5154,275.3
2023-03-03,CMP-0002,950,5,0,12.46,0.0,1,0,0.6532,227.8
2023-03-04,CMP-0002,645,2,0,5.08,0.0,0,0,0.7333,260.1
2023-03-05,CMP-0002,623,2,0,10.86,0.0,0,0,0.4329,240.3
2023-03-06,CMP-0002,1039,6,0,0.21,0.0,1,0,0.5862,181.6
2023-03-07,CMP-0002,995,6,0,12.34,0.0,0,0,0.2625,267.0
2023-03-08,CMP-0002,1015,6,0,8.42,0.0,0,0,0.6619,274.2
2023-03-09,CMP-0002,1045,7,0,4.53,0.0,0,0,0.4022,155.4
2023-03-10,CMP-0002,1001,4,0,1.46,0.0,0,0,0.5852,226.8
2023-03-11,CMP-0002,630,2,0,14.19,0.0,0,0,0.4574,43.2
2023-03-12,CMP-0002,563,2,0,7.34,0.0,0,0,0.4353,141.4
2023-03-13,CMP-0002,1031,3,0,14.26,0.0,0,0,0.5222,293.7
2023-03-14,CMP-0002,1024,5,0,5.38,0.0,0,0,0.674,144.6
2023-03-15,CMP-0002,1006,4,0,9.94,0.0,1,0,0.6434,84.4
2023-03-16,CMP-0002,998,5,0,1.89,0.0,0,0,0.3536,76.5
2023-03-17,CMP-0002,995,4,0,13.05,0.0,0,0,0.2514,259.6
2023-03-18,CMP-0002,628,1,0,2.17,0.0,0,0,0.5805,22.3
2023-03-19,CMP-0002,657,2,0,0.22,0.0,0,0,0.3371,29.9
2023-03-20,CMP-0002,953,3,0,11.13,0.0,0,0,0.639,161.3
2023-03-21,CMP-0002,999,5,0,1.64,0.0,1,0,0.6416,262.1
2023-03-22,CMP-0002,999,4,0,7.82,0.0,1,0,0.4895,129.5
2023-03-23,CMP-0002,985,6,0,10.29,0.0,2,0,0.2904,188.4
2023-03-24,CMP-0002,911,6,0,0.99,0.0,1,0,0.4126,298.5
2023-03-25,CMP-0002,659,1,0,7.96,0.0,0,0,0.6009,258.0
2023-03-26,CMP-0002,631,1,0,9.76,0.0,0,0,0.4758,80.1
2023-03-27,CMP-0002,957,5,0,5.08,0.0,1,0,0.4634,204.6
2023-03-28,CMP-0002,1007,7,0,5.61,0.0,2,0,0.6659,41.6
2023-03-29,CMP-0002,981,3,0,1.45,0.0,1,0,0.5432,175.1
2023-03-30,CMP-0002,1010,6,0,4.94,0.0,1,0,0.6251,262.4
2023-03-31,CMP-0002,929,5,0,10.82,0.0,1,0,0.539,75.6
2023-04-01,CMP-0002,689,2,0,9.85,0.0,0,0,0.4338,232.3
2023-04-02,CMP-0002,636,2,0,8.61,0.0,0,0,0.6592,189.9
2023-04-03,CMP-0002,1085,8,0,9.64,0.0,3,0,0.3837,66.4
2023-04-04,CMP-0002,976,3,0,10.54,0.0,0,0,0.6849,176.4
2023-04-05,CMP-0002,946,5,0,6.01,0.0,1,0,0.6231,76.3
2023-04-06,CMP-0002,1053,5,0,6.3,0.0,1,0,0.6384,176.8
2023-04-07,CMP-0002,962,4,0,1.27,0.0,0,0,0.587,92.5
2023-04-08,CMP-0002,652,2,0,9.93,0.0,0,0,0.6275,47.4
2023-04-09,CMP-0002,628,2,0,6.45,0.0,0,0,0.5836,27.9
2023-04-10,CMP-0002,1039,6,0,5.93,0.0,0,0,0.3556,54.1
2025-01-03,CMP-0003,13153,172,4,461.25,178.59,17,2,0.3378,123.4
2025-01-04,CMP-0003,13109,112,3,301.67,168.8,39,6,0.286,260.6
2025-01-05,CMP-0003,7923,83,2,370.08,47.53,31,5,0.5379,178.4
2025-01-06,CMP-0003,17826,207,5,408.39,253.47,27,1,0.4124,243.4
2025-01-07,CMP-0003,20865,305,9,513.87,707.96,114,7,0.6722,84.3
2025-01-08,CMP-0003,17613,223,5,444.46,289.34,48,4,0.4198,109.9
2025-01-09,CMP-0003,11343,143,3,443.02,170.87,19,2,0.703,114.6
2025-01-10,CMP-0003,24998,402,13,564.98,1011.13,138,11,0.3232,71.2
2025-01-11,CMP-0003,13764,134,4,343.42,295.26,39,2,0.6364,155.8
2025-01-12,CMP-0003,15472,151,4,342.71,295.17,35,6,0.5322,196.1
2025-01-13,CMP-0003,23842,396,13,584.13,1050.88,114,8,0.2841,141.0
2025-01-14,CMP-0003,13997,185,5,465.14,205.2,21,2,0.4052,143.8
2025-01-15,CMP-0003,11525,172,5,526.36,393.2,21,3,0.6776,190.3
2025-01-16,CMP-0003,16032,198,5,434.45,268.67,52,8,0.6979,143.2
2025-01-17,CMP-0003,23178,325,9,493.22,598.49,63,7,0.3254,32.6
2025-01-18,CMP-0003,6732,55,1,287.08,83.19,11,1,0.5023,64.2
2025-01-19,CMP-0003,8490,72,2,300.47,104.1,16,2,0.3294,121.3
2025-01-20,CMP-0003,15254,225,7,518.32,350.64,45,6,0.6446,199.5
2025-01-21,CMP-0003,8598,94,2,387.39,57.76,28,2,0.6119,202.1
2025-01-22,CMP-0003,32989,617,24,657.02,1954.71,123,16,0.3207,114.7
2025-01-23,CMP-0003,19334,203,4,369.99,278.59,44,6,0.719,103.2
2025-01-24,CMP-0003,11417,114,2,350.71,151.87,39,5,0.6645,225.6
2025-01-25,CMP-0003,15554,160,5,363.03,290.16,47,5,0.4309,118.3
2025-01-26,CMP-0003,8880,86,2,341.43,73.92,33,4,0.3633,54.2
2025-01-27,CMP-0003,11760,174,5,521.01,397.49,22,3,0.6676,266.8
2025-01-28,CMP-0003,11084,164,5,521.4,226.16,54,3,0.4384,61.2
2025-01-29,CMP-0003,22045,290,8,462.05,596.39,99,7,0.4688,132.1
2025-01-30,CMP-0003,16170,175,4,380.07,154.13,40,3,0.6243,142.9
2025-01-31,CMP-0003,17774,238,6,470.21,260.33,81,9,0.6676,119.8
2025-02-01,CMP-0003,14128,102,2,254.84,177.9,24,2,0.4409,165.3
2025-02-02,CMP-0003,19769,198,7,352.24,543.48,67,4,0.375,197.7
2025-02-03,CMP-0003,23747,304,8,449.57,479.45,39,6,0.6756,96.2
2025-02-04,CMP-0003,18889,208,5,386.72,204.57,77,5,0.4687,284.7
2025-02-05,CMP-0003,12766,157,4,433.42,211.8,32,1,0.2766,158.1
2025-02-06,CMP-0003,15017,214,6,501.44,537.78,45,2,0.7154,254.2
2025-02-07,CMP-0003,18407,215,5,410.97,379.59,30,2,0.6649,213.4
2025-02-08,CMP-0003,6520,45,1,246.29,70.12,10,0,0.2896,87.9
2025-02-09,CMP-0003,15894,140,4,309.12,238.18,44,5,0.3056,97.1
2025-02-10,CMP-0003,15689,217,6,485.88,154.34,49,8,0.4786,46.6
2023-01-07,CMP-0004,8582,97,1,102.64,167.41,10,1,0.371,55.9
2023-01-08,CMP-0004,5915,67,0,103.46,0.0,11,1,0.5822,39.4
2023-01-09,CMP-0004,16430,340,5,187.82,360.91,87,10,0.7442,172.9
2023-01-10,CMP-0004,7015,98,1,127.5,144.62,28,5,0.3768,19.6
2023-01-11,CMP-0004,9947,141,1,128.96,122.06,45,6,0.6358,224.5
2023-01-12,CMP-0004,7962,134,1,153.7,67.98,35,6,0.3375,237.1
2023-01-13,CMP-0004,10162,192,2,171.82,370.34,55,9,0.2816,236.2
2023-01-14,CMP-0004,7128,95,1,121.32,112.82,10,0,0.271,281.0
2023-01-15,CMP-0004,9165,149,2,147.92,476.08,39,3,0.6266,69.5
2023-01-16,CMP-0004,11179,259,4,210.27,802.21,93,9,0.3122,119.9
2023-01-17,CMP-0004,14376,275,3,173.74,581.39,101,10,0.7369,156.4
2023-01-18,CMP-0004,10902,215,3,178.8,679.13,54,9,0.6135,37.5
2023-01-19,CMP-0004,9586,151,1,143.5,208.02,39,3,0.29,203.4
2023-01-20,CMP-0004,9005,177,2,178.82,336.94,40,6,0.4258,27.1
2023-01-21,CMP-0004,8789,104,1,107.62,123.46,41,3,0.74,285.2
2023-01-22,CMP-0004,4559,61,0,121.59,0.0,12,2,0.5897,286.5
2023-01-23,CMP-0004,6181,102,1,149.79,169.36,34,1,0.2836,236.9
2023-01-24,CMP-0004,10636,232,3,198.13,386.74,62,8,0.5895,285.4
2023-01-25,CMP-0004,12663,327,6,234.51,1184.13,89,11,0.449,200.1
2023-01-26,CMP-0004,8287,160,2,175.58,160.84,51,6,0.4435,175.1
2023-01-27,CMP-0004,9283,198,3,193.91,320.56,46,9,0.3928,276.2
2023-01-28,CMP-0004,7879,112,1,129.98,82.07,39,4,0.6993,141.9
2023-01-29,CMP-0004,4014,46,0,105.05,0.0,16,1,0.4237,33.5
2023-01-30,CMP-0004,11899,246,3,187.53,661.32,87,13,0.7137,196.7
2023-01-31,CMP-0004,13932,276,4,179.94,606.3,37,2,0.3194,240.3
2023-02-01,CMP-0004,6844,138,2,182.99,319.45,29,4,0.5258,189.4
2023-02-02,CMP-0004,6218,104,1,151.74,115.67,41,6,0.5128,234.2
2023-02-03,CMP-0004,15332,305,4,180.37,293.1,119,17,0.475,208.8
2023-02-04,CMP-0004,7084,98,1,125.59,218.03,32,4,0.341,290.4
2023-02-05,CMP-0004,9088,147,3,147.37,671.78,17,1,0.3265,61.9
2023-02-06,CMP-0004,11787,278,5,213.92,938.4,56,10,0.6975,256.1
2023-02-07,CMP-0004,13044,369,8,256.78,1394.48,97,6,0.4014,167.0
2023-02-08,CMP-0004,10004,167,2,151.94,180.71,63,4,0.5794,220.4
2023-02-09,CMP-0004,15172,352,6,210.8,1269.93,94,16,0.2642,28.0
2023-02-10,CMP-0004,13795,283,4,186.07,655.28,83,13,0.4583,197.1
2023-02-11,CMP-0004,10770,195,4,164.24,691.56,36,6,0.4915,244.3
2023-02-12,CMP-0004,7348,77,1,95.75,113.54,9,0,0.4698,153.0
2023-02-13,CMP-0004,7171,118,1,149.34,169.2,22,3,0.6171,260.3
2023-02-14,CMP-0004,14862,258,3,157.97,250.61,54,7,0.4096,147.9
2023-02-15,CMP-0004,5348,60,0,103.24,0.0,7,0,0.4421,190.4
2023-02-16,CMP-0004,8136,144,2,160.61,431.51,21,2,0.5388,104.1
2023-02-17,CMP-0004,12393,208,2,152.24,299.38,52,6,0.4043,21.6
2023-02-18,CMP-0004,10857,140,2,117.65,301.96,54,4,0.4264,29.4
2023-02-19,CMP-0004,7979,107,1,122.03,218.82,31,3,0.5183,256.4
2023-02-20,CMP-0004,15197,413,9,246.84,1969.58,131,21,0.433,129.2
2023-02-21,CMP-0004,14928,351,6,213.6,570.23,93,5,0.5021,232.9
2023-02-22,CMP-0004,8342,146,2,158.78,476.07,44,2,0.7375,127.3
2023-02-23,CMP-0004,12266,199,2,147.24,242.07,75,12,0.3495,160.1
2023-02-24,CMP-0004,12951,281,4,197.14,272.62,39,3,0.4869,145.2
2023-02-25,CMP-0004,6055,56,0,84.06,0.0,11,1,0.3313,297.3
2023-02-26,CMP-0004,12482,214,4,156.06,455.45,42,7,0.5162,217.0
2023-02-27,CMP-0004,11920,291,5,221.82,1034.17,61,9,0.7399,181.4
2023-02-28,CMP-0004,13566,243,3,162.64,571.68,74,3,0.4873,290.6
2023-03-01,CMP-0004,10242,133,1,117.99,199.71,36,5,0.5418,63.6
2023-03-02,CMP-0004,17596,442,9,228.09,1543.97,155,11,0.5904,24.0
2023-03-03,CMP-0004,17043,329,5,175.37,398.91,34,3,0.3257,211.8
2023-03-04,CMP-0004,9037,142,3,142.49,598.49,53,9,0.6179,32.8
2023-03-05,CMP-0004,3604,30,0,77.8,0.0,5,0,0.5127,104.4
2023-03-06,CMP-0004,7667,133,1,157.97,224.18,26,2,0.636,220.5
2023-03-07,CMP-0004,14022,277,4,179.67,739.19,78,6,0.3733,174.1
2023-03-08,CMP-0004,9380,187,3,181.17,705.37,35,3,0.3536,215.9
2023-03-09,CMP-0004,9402,169,2,163.33,245.57,64,10,0.3867,49.7
2023-03-10,CMP-0004,16174,360,6,201.84,770.07,141,24,0.7273,244.3
2023-03-11,CMP-0004,5021,49,0,89.83,0.0,15,1,0.4712,88.1
2023-03-12,CMP-0004,7516,92,1,110.97,96.37,24,4,0.5981,54.1
2023-03-13,CMP-0004,14025,284,4,183.8,662.52,49,7,0.5155,196.8
2023-03-14,CMP-0004,8107,177,3,197.95,403.18,55,3,0.6354,16.5
2023-03-15,CMP-0004,14805,334,6,205.03,1363.43,74,14,0.6892,151.1
2023-03-16,CMP-0004,6981,107,1,139.11,233.5,21,3,0.704,40.5
2023-03-17,CMP-0004,9170,125,1,124.42,156.33,39,7,0.7066,64.9
2023-03-18,CMP-0004,13343,211,4,143.41,366.57,79,15,0.4485,156.2
2023-03-19,CMP-0004,11749,157,2,121.81,466.37,59,10,0.2546,176.9
2023-03-20,CMP-0004,6776,114,1,152.62,236.94,21,4,0.5217,155.8
2023-03-21,CMP-0004,22712,589,13,235.17,2771.48,141,11,0.3063,61.3
2023-03-22,CMP-0004,12206,247,4,183.64,425.23,38,6,0.6454,176.8
2023-03-23,CMP-0004,18899,462,9,221.82,824.3,164,30,0.6635,161.9
2023-03-24,CMP-0004,7841,157,2,181.91,360.93,24,1,0.4118,85.7
2023-03-25,CMP-0004,8715,155,3,161.29,307.18,50,9,0.401,221.0
2023-03-26,CMP-0004,5923,100,2,154.32,355.33,30,1,0.3091,102.4
2023-03-27,CMP-0004,10763,202,3,170.55,451.36,74,11,0.4055,48.5
2023-03-28,CMP-0004,20400,482,9,214.36,1017.96,137,11,0.3168,58.7
2023-03-29,CMP-0004,17144,383,7,202.65,1183.23,86,11,0.4854,168.2
2023-03-30,CMP-0004,18141,457,9,228.62,893.83,79,12,0.6866,38.3
2023-03-31,CMP-0004,9517,152,2,144.85,373.36,18,2,0.2809,171.1
2023-04-01,CMP-0004,9173,131,2,129.89,326.17,18,1,0.5102,48.1
2023-04-02,CMP-0004,7121,108,2,138.4,329.93,13,1,0.6543,144.2
2023-04-03,CMP-0004,8275,106,1,116.35,142.22,12,1,0.6535,221.1
2023-04-04,CMP-0004,8717,131,1,137.01,206.96,42,5,0.2726,113.2
2023-04-05,CMP-0004,4507,52,0,106.28,0.0,19,1,0.7169,24.0
2023-04-06,CMP-0004,10945,205,3,169.82,595.24,67,13,0.5729,134.8
2023-04-07,CMP-0004,20886,472,9,205.24,1159.62,170,31,0.4378,209.6
2023-04-08,CMP-0004,11974,196,4,148.54,628.3,58,5,0.3392,168.1
2023-04-09,CMP-0004,8359,106,1,115.91,191.01,17,0,0.2614,100.0
2023-04-10,CMP-0004,19360,508,11,237.95,1738.0,131,22,0.3738,113.7
2023-04-11,CMP-0004,7269,104,1,129.94,228.73,33,2,0.6547,134.5
2023-04-12,CMP-0004,10328,134,1,118.34,219.08,14,1,0.3004,24.6
2023-04-13,CMP-0004,13582,265,4,177.49,746.37,30,4,0.4511,81.8
2023-04-14,CMP-0004,10091,215,3,193.27,646.41,25,3,0.3946,247.5
2023-04-15,CMP-0004,9652,120,2,113.47,234.81,33,4,0.4103,101.0
2023-04-16,CMP-0004,3181,23,0,66.99,0.0,3,0,0.2805,285.3
2023-04-17,CMP-0004,16665,324,5,176.29,1120.42,93,10,0.4978,292.1
2023-04-18,CMP-0004,13065,191,2,132.66,361.68,64,6,0.4582,57.5
2023-04-19,CMP-0004,12697,285,5,203.53,978.97,68,12,0.4004,216.7
2023-04-20,CMP-0004,17302,367,6,192.65,1347.92,98,19,0.5286,53.2
2023-04-21,CMP-0004,7848,126,1,145.75,96.6,37,6,0.6736,41.4
2023-04-22,CMP-0004,8672,98,1,102.48,94.29,17,2,0.5515,264.0
2023-04-23,CMP-0004,4532,45,0,90.02,0.0,14,1,0.4897,262.8
2023-04-24,CMP-0004,10564,206,3,177.24,696.79,21,4,0.731,48.4
2023-04-25,CMP-0004,21846,515,10,213.77,1462.06,88,12,0.3523,275.8
2023-04-26,CMP-0004,10606,168,2,144.1,399.18,35,4,0.4296,89.5
2023-04-27,CMP-0004,14047,306,5,197.58,747.55,39,7,0.4847,254.3
2023-04-28,CMP-0004,15523,274,4,160.45,506.91,61,8,0.3606,56.6
2023-04-29,CMP-0004,5285,56,0,96.11,0.0,15,1,0.3262,109.0
2023-04-30,CMP-0004,6996,86,1,111.77,210.01,21,3,0.5924,88.3
2023-05-01,CMP-0004,12700,199,2,142.32,467.94,58,7,0.3341,241.6
2023-05-02,CMP-0004,7707,135,2,159.61,379.31,33,6,0.5211,197.9
2023-05-03,CMP-0004,5643,84,1,136.49,66.09,29,5,0.5841,232.8
2023-12-11,CMP-0005,3504,64,2,112.27,335.13,10,1,0.2546,159.1
2023-12-12,CMP-0005,2435,32,0,81.17,0.0,9,1,0.4916,154.0
2023-12-13,CMP-0005,1296,14,0,69.32,0.0,1,0,0.3874,293.6
2023-12-14,CMP-0005,1599,22,0,84.05,0.0,6,1,0.7049,45.5
2023-12-15,CMP-0005,1691,21,0,78.79,0.0,3,0,0.6576,91.2
2023-12-16,CMP-0005,1506,12,0,49.02,0.0,2,0,0.7451,79.4
2023-12-17,CMP-0005,2280,21,0,57.59,0.0,6,1,0.6298,41.6
2023-12-18,CMP-0005,2802,42,1,92.81,126.26,4,0,0.3357,157.5
2023-12-19,CMP-0005,2296,27,0,72.05,0.0,7,1,0.2977,165.5
2023-12-20,CMP-0005,1412,16,0,71.32,0.0,5,0,0.4878,28.3
2023-12-21,CMP-0005,1583,19,0,76.17,0.0,7,0,0.2665,279.7
2023-12-22,CMP-0005,1226,8,0,43.49,0.0,2,0,0.6064,128.5
2023-12-23,CMP-0005,746,4,0,35.75,0.0,0,0,0.4446,270.5
2023-12-24,CMP-0005,1876,20,0,65.31,0.0,2,0,0.6121,157.7
2023-12-25,CMP-0005,5199,91,3,107.12,165.46,21,3,0.4203,234.2
2023-12-26,CMP-0005,3671,46,1,76.58,104.03,15,0,0.3867,297.9
2023-12-27,CMP-0005,3022,44,1,89.89,98.2,16,1,0.5898,203.3
2023-12-28,CMP-0005,1810,25,0,85.62,0.0,8,1,0.291,59.0
2023-12-29,CMP-0005,5266,112,4,130.23,551.32,36,3,0.3033,16.5
2023-12-30,CMP-0005,1758,18,0,62.78,0.0,3,0,0.3437,142.9
2023-12-31,CMP-0005,1779,14,0,49.98,0.0,1,0,0.2965,185.4
2024-01-01,CMP-0005,2009,21,0,65.2,0.0,3,0,0.2923,271.8
2024-01-02,CMP-0005,2744,24,0,54.7,0.0,6,0,0.4404,54.6
2024-01-03,CMP-0005,2519,34,0,83.88,0.0,4,0,0.4606,153.0
2024-01-04,CMP-0005,1543,17,0,68.41,0.0,2,0,0.5469,70.7
2024-01-05,CMP-0005,1359,12,0,57.67,0.0,4,0,0.5601,244.2
2024-01-06,CMP-0005,1383,10,0,44.66,0.0,3,0,0.7371,53.8
2024-01-07,CMP-0005,1233,8,0,40.2,0.0,1,0,0.7323,291.1
2024-01-08,CMP-0005,3203,56,2,107.8,293.06,13,1,0.3712,122.2
2024-01-09,CMP-0005,4476,69,2,94.81,206.99,9,1,0.5461,170.5
2024-01-10,CMP-0005,3437,45,1,80.47,125.89,17,2,0.6042,140.0
2024-01-11,CMP-0005,3103,53,1,104.46,146.23,18,3,0.4546,157.3
2024-01-12,CMP-0005,3364,45,1,81.85,81.99,13,2,0.6445,36.1
2024-01-13,CMP-0005,2251,15,0,42.46,0.0,3,0,0.7102,212.1
2024-01-14,CMP-0005,2550,27,0,66.91,0.0,5,0,0.5185,196.9
2024-01-15,CMP-0005,2038,29,0,89.29,0.0,8,0,0.5735,27.6
2024-01-16,CMP-0005,3372,35,0,63.88,0.0,7,1,0.7329,137.7
2024-01-17,CMP-0005,1577,20,0,77.53,0.0,5,0,0.5403,178.9
2024-01-18,CMP-0005,2317,25,0,66.48,0.0,8,1,0.5002,113.3
2024-01-19,CMP-0005,1213,11,0,58.31,0.0,2,0,0.308,283.1
2024-01-20,CMP-0005,1502,14,0,60.79,0.0,3,0,0.4915,150.7
2023-02-14,CMP-0006,88824,29704,1985,238.77,138020.07,0,0,0.4001,245.9
2023-02-15,CMP-0006,31891,5558,193,124.46,15405.19,0,0,0.5886,61.8
2023-02-16,CMP-0006,109108,29377,1581,192.24,61602.28,0,0,0.3301,174.6
2023-02-17,CMP-0006,83934,17668,743,150.3,28345.64,0,0,0.3422,197.5
2023-02-18,CMP-0006,36703,5101,222,99.24,5432.45,0,0,0.3487,183.8
2023-02-19,CMP-0006,34345,4662,198,96.93,13873.79,0,0,0.6262,245.5
2023-02-20,CMP-0006,33934,6793,271,142.93,7958.8,0,0,0.3435,107.9
2023-02-21,CMP-0006,66116,16155,789,174.47,31724.79,0,0,0.5139,197.1
2023-02-22,CMP-0006,61793,12468,502,144.07,32009.19,0,0,0.424,256.0
2023-02-23,CMP-0006,79453,20267,1033,182.14,79982.43,0,0,0.3987,190.1
2023-02-24,CMP-0006,41970,10054,481,171.05,15171.45,0,0,0.4027,67.2
2023-02-25,CMP-0006,48526,7115,327,104.7,18632.68,0,0,0.3189,124.4
2023-02-26,CMP-0006,25340,3194,126,90.0,8239.94,0,0,0.5726,300.0
2023-02-27,CMP-0006,63260,13542,579,152.86,32163.93,0,0,0.4073,143.5
2023-02-28,CMP-0006,46582,12975,722,198.89,33742.77,0,0,0.3183,247.3
2023-03-01,CMP-0006,111967,29810,1667,190.1,94380.65,0,0,0.5923,133.5
2023-03-02,CMP-0006,75386,14676,600,139.01,33292.33,0,0,0.2654,231.9
2023-03-03,CMP-0006,59208,14612,757,176.22,31076.8,0,0,0.3341,145.3
2023-03-04,CMP-0006,63953,11328,662,126.48,49120.12,0,0,0.3066,47.5
2023-03-05,CMP-0006,37932,3891,131,73.24,10227.38,0,0,0.6613,26.9
2023-03-06,CMP-0006,95166,25532,1439,191.57,85446.16,0,0,0.3012,251.6
2023-03-07,CMP-0006,76288,16015,706,149.89,30072.32,0,0,0.4749,114.3
2023-03-08,CMP-0006,102721,27695,1568,192.51,81751.16,0,0,0.6378,82.5
2023-03-09,CMP-0006,77790,15951,687,146.41,42721.0,0,0,0.6054,195.3
2023-03-10,CMP-0006,31855,4926,160,110.42,5103.74,0,0,0.3535,31.9
