lead_id,date,campaign_id,channel,region,lead_source,lead_status,deal_value,days_to_convert,lead_score,is_won,deal_size
LEAD-000179,2023-01-17,CMP-0004,TikTok Ads,North America,Referral,Lost,0.0,-1,0,0,No Deal
LEAD-000180,2023-01-18,CMP-0004,TikTok Ads,North America,Direct,Proposal,6005.63,-1,75,0,Medium (2K-8K)
LEAD-000181,2023-01-18,CMP-0004,TikTok Ads,North America,Direct,Won,5286.05,24,100,1,Medium (2K-8K)
LEAD-000182,2023-01-18,CMP-0004,TikTok Ads,North America,Paid,Won,7372.95,7,100,1,Medium (2K-8K)
LEAD-000183,2023-01-19,CMP-0004,TikTok Ads,North America,Paid,Proposal,3030.85,-1,75,0,Medium (2K-8K)
LEAD-000184,2023-01-20,CMP-0004,TikTok Ads,North America,Paid,New,0.0,-1,10,0,No Deal
LEAD-000185,2023-01-20,CMP-0004,TikTok Ads,North America,Referral,Lost,0.0,-1,0,0,No Deal
LEAD-000186,2023-01-21,CMP-0004,TikTok Ads,North America,Direct,Qualified,0.0,-1,50,0,No Deal
LEAD-000187,2023-01-23,CMP-0004,TikTok Ads,North America,Organic,Proposal,5928.52,-1,75,0,Medium (2K-8K)
LEAD-000188,2023-01-24,CMP-0004,TikTok Ads,North America,Paid,New,0.0,-1,10,0,No Deal
LEAD-000189,2023-01-24,CMP-0004,TikTok Ads,North America,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000190,2023-01-24,CMP-0004,TikTok Ads,North America,Paid,Lost,0.0,-1,0,0,No Deal
LEAD-000191,2023-01-25,CMP-0004,TikTok Ads,North America,Referral,Won,4363.78,53,100,1,Medium (2K-8K)
LEAD-000192,2023-01-25,CMP-0004,TikTok Ads,North America,Paid,Contacted,0.0,-1,25,0,No Deal
LEAD-000193,2023-01-25,CMP-0004,TikTok Ads,North America,Organic,Contacted,0.0,-1,25,0,No Deal
LEAD-000194,2023-01-25,CMP-0004,TikTok Ads,North America,Organic,New,0.0,-1,10,0,No Deal
LEAD-000195,2023-01-25,CMP-0004,TikTok Ads,North America,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000196,2023-01-26,CMP-0004,TikTok Ads,North America,Referral,Lost,0.0,-1,0,0,No Deal
LEAD-000197,2023-01-26,CMP-0004,TikTok Ads,North America,Direct,Contacted,0.0,-1,25,0,No Deal
LEAD-000198,2023-01-27,CMP-0004,TikTok Ads,North America,Organic,Qualified,0.0,-1,50,0,No Deal
LEAD-000199,2023-01-27,CMP-0004,TikTok Ads,North America,Direct,Contacted,0.0,-1,25,0,No Deal
LEAD-000200,2023-01-27,CMP-0004,TikTok Ads,North America,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000201,2023-01-28,CMP-0004,TikTok Ads,North America,Organic,Won,7756.36,6,100,1,Medium (2K-8K)
LEAD-000202,2023-01-30,CMP-0004,TikTok Ads,North America,Organic,Contacted,0.0,-1,25,0,No Deal
LEAD-000203,2023-01-30,CMP-0004,TikTok Ads,North America,Direct,Proposal,9176.98,-1,75,0,Large (>8K)
LEAD-000204,2023-01-30,CMP-0004,TikTok Ads,North America,Paid,New,0.0,-1,10,0,No Deal
LEAD-000205,2023-01-31,CMP-0004,TikTok Ads,North America,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000206,2023-01-31,CMP-0004,TikTok Ads,North America,Referral,Lost,0.0,-1,0,0,No Deal
LEAD-000207,2023-01-31,CMP-0004,TikTok Ads,North America,Direct,New,0.0,-1,10,0,No Deal
LEAD-000208,2023-01-31,CMP-0004,TikTok Ads,North America,Referral,Contacted,0.0,-1,25,0,No Deal
LEAD-000209,2023-02-01,CMP-0004,TikTok Ads,North America,Paid,New,0.0,-1,10,0,No Deal
LEAD-000210,2023-02-01,CMP-0004,TikTok Ads,North America,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000211,2023-02-02,CMP-0004,TikTok Ads,North America,Organic,Contacted,0.0,-1,25,0,No Deal
LEAD-000212,2023-02-03,CMP-0004,TikTok Ads,North America,Paid,Contacted,0.0,-1,25,0,No Deal
LEAD-000213,2023-02-03,CMP-0004,TikTok Ads,North America,Organic,Contacted,0.0,-1,25,0,No Deal
LEAD-000214,2023-02-03,CMP-0004,TikTok Ads,North America,Paid,Contacted,0.0,-1,25,0,No Deal
LEAD-000215,2023-02-03,CMP-0004,TikTok Ads,North America,Direct,Lost,0.0,-1,0,0,No Deal
LEAD-000216,2023-02-04,CMP-0004,TikTok Ads,North America,Organic,Contacted,0.0,-1,25,0,No Deal
LEAD-000217,2023-02-05,CMP-0004,TikTok Ads,North America,Paid,Proposal,4004.37,-1,75,0,Medium (2K-8K)
LEAD-000218,2023-02-05,CMP-0004,TikTok Ads,North America,Paid,Contacted,0.0,-1,25,0,No Deal
LEAD-000219,2023-02-05,CMP-0004,TikTok Ads,North America,Direct,Lost,0.0,-1,0,0,No Deal
LEAD-000220,2023-02-06,CMP-0004,TikTok Ads,North America,Direct,Proposal,5241.46,-1,75,0,Medium (2K-8K)
LEAD-000221,2023-02-06,CMP-0004,TikTok Ads,North America,Referral,Proposal,3151.79,-1,75,0,Medium (2K-8K)
LEAD-000222,2023-02-06,CMP-0004,TikTok Ads,North America,Organic,New,0.0,-1,10,0,No Deal
LEAD-000223,2023-02-06,CMP-0004,TikTok Ads,North America,Direct,Lost,0.0,-1,0,0,No Deal
LEAD-000224,2023-02-06,CMP-0004,TikTok Ads,North America,Direct,Won,9340.04,71,100,1,Large (>8K)
LEAD-000225,2023-02-07,CMP-0004,TikTok Ads,North America,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000226,2023-02-07,CMP-0004,TikTok Ads,North America,Paid,New,0.0,-1,10,0,No Deal
LEAD-000227,2023-02-07,CMP-0004,TikTok Ads,North America,Organic,New,0.0,-1,10,0,No Deal
LEAD-000228,2023-02-07,CMP-0004,TikTok Ads,North America,Paid,New,0.0,-1,10,0,No Deal
LEAD-000229,2023-02-07,CMP-0004,TikTok Ads,North America,Paid,New,0.0,-1,10,0,No Deal
LEAD-000230,2023-02-08,CMP-0004,TikTok Ads,North America,Referral,Won,6790.63,31,100,1,Medium (2K-8K)
LEAD-000231,2023-02-08,CMP-0004,TikTok Ads,North America,Referral,Contacted,0.0,-1,25,0,No Deal
LEAD-000232,2023-02-09,CMP-0004,TikTok Ads,North America,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000233,2023-02-09,CMP-0004,TikTok Ads,North America,Paid,Proposal,3850.77,-1,75,0,Medium (2K-8K)
LEAD-000234,2023-02-09,CMP-0004,TikTok Ads,North America,Paid,Contacted,0.0,-1,25,0,No Deal
LEAD-000235,2023-02-09,CMP-0004,TikTok Ads,North America,Direct,Proposal,7606.9,-1,75,0,Medium (2K-8K)
