date,campaign_id,impressions,clicks,conversions,spend,revenue,likes,shares,bounce_rate,avg_session_duration_sec,ctr,cpc,cpa,roas,conversion_rate,cost_per_impression,year,month,month_name,quarter,week_number,day_of_week,is_weekend
2023-06-08,CMP-0001,981,3,0,1.4,0.0,0,0,0.5408,149.9,0.003058,0.4667,0.0,0.0,0.0,1.4271,2023,6,June,2023Q2,23,Thursday,False
2023-06-09,CMP-0001,923,4,0,7.96,0.0,1,0,0.6014,92.2,0.004334,1.99,0.0,0.0,0.0,8.6241,2023,6,June,2023Q2,23,Friday,False
2023-06-10,CMP-0001,620,2,0,3.77,0.0,0,0,0.5179,232.2,0.003226,1.885,0.0,0.0,0.0,6.0806,2023,6,June,2023Q2,23,Saturday,True
2023-06-11,CMP-0001,614,1,0,2.78,0.0,0,0,0.7383,164.5,0.001629,2.78,0.0,0.0,0.0,4.5277,2023,6,June,2023Q2,23,Sunday,True
2023-06-12,CMP-0001,987,4,0,4.24,0.0,0,0,0.3397,19.0,0.004053,1.06,0.0,0.0,0.0,4.2958,2023,6,June,2023Q2,24,Monday,False
2023-06-13,CMP-0001,929,4,0,8.01,0.0,1,0,0.5987,51.0,0.004306,2.0025,0.0,0.0,0.0,8.6222,2023,6,June,2023Q2,24,Tuesday,False
2023-06-14,CMP-0001,969,4,0,13.03,0.0,1,0,0.4847,140.5,0.004128,3.2575,0.0,0.0,0.0,13.4469,2023,6,June,2023Q2,24,Wednesday,False
2023-06-15,CMP-0001,993,4,0,2.77,0.0,1,0,0.6611,129.2,0.004028,0.6925,0.0,0.0,0.0,2.7895,2023,6,June,2023Q2,24,Thursday,False
2023-06-16,CMP-0001,973,5,0,1.11,0.0,0,0,0.5314,101.6,0.005139,0.222,0.0,0.0,0.0,1.1408,2023,6,June,2023Q2,24,Friday,False
2023-06-17,CMP-0001,620,1,0,14.91,0.0,0,0,0.6454,79.3,0.001613,14.91,0.0,0.0,0.0,24.0484,2023,6,June,2023Q2,24,Saturday,True
2023-06-18,CMP-0001,589,0,0,7.84,0.0,0,0,0.745,102.0,0.0,0.0,0.0,0.0,0.0,13.3107,2023,6,June,2023Q2,24,Sunday,True
2023-06-19,CMP-0001,999,6,0,9.32,0.0,1,0,0.3539,75.1,0.006006,1.5533,0.0,0.0,0.0,9.3293,2023,6,June,2023Q2,25,Monday,False
2023-06-20,CMP-0001,917,6,0,9.91,0.0,0,0,0.2513,143.4,0.006543,1.6517,0.0,0.0,0.0,10.807,2023,6,June,2023Q2,25,Tuesday,False
2023-06-21,CMP-0001,924,4,0,8.91,0.0,0,0,0.6015,144.4,0.004329,2.2275,0.0,0.0,0.0,9.6429,2023,6,June,2023Q2,25,Wednesday,False
2023-06-22,CMP-0001,977,6,0,10.31,0.0,2,0,0.5806,281.1,0.006141,1.7183,0.0,0.0,0.0,10.5527,2023,6,June,2023Q2,25,Thursday,False
2023-06-23,CMP-0001,994,5,0,6.38,0.0,1,0,0.6633,35.4,0.00503,1.276,0.0,0.0,0.0,6.4185,2023,6,June,2023Q2,25,Friday,False
2023-06-24,CMP-0001,583,1,0,2.49,0.0,0,0,0.3943,50.4,0.001715,2.49,0.0,0.0,0.0,4.271,2023,6,June,2023Q2,25,Saturday,True
2023-06-25,CMP-0001,623,2,0,10.33,0.0,0,0,0.4969,37.9,0.00321,5.165,0.0,0.0,0.0,16.5811,2023,6,June,2023Q2,25,Sunday,True
2023-06-26,CMP-0001,937,5,0,0.6,0.0,0,0,0.2957,289.1,0.005336,0.12,0.0,0.0,0.0,0.6403,2023,6,June,2023Q2,26,Monday,False
2023-06-27,CMP-0001,899,4,0,12.54,0.0,1,0,0.5861,91.8,0.004449,3.135,0.0,0.0,0.0,13.9488,2023,6,June,2023Q2,26,Tuesday,False
2023-06-28,CMP-0001,947,5,0,0.6,0.0,1,0,0.708,66.7,0.00528,0.12,0.0,0.0,0.0,0.6336,2023,6,June,2023Q2,26,Wednesday,False
2023-06-29,CMP-0001,932,5,0,8.78,0.0,1,0,0.424,110.0,0.005365,1.756,0.0,0.0,0.0,9.4206,2023,6,June,2023Q2,26,Thursday,False
2023-06-30,CMP-0001,924,3,0,10.05,0.0,0,0,0.3941,284.4,0.003247,3.35,0.0,0.0,0.0,10.8766,2023,6,June,2023Q2,26,Friday,False
2023-07-01,CMP-0001,566,1,0,12.2,0.0,0,0,0.4116,291.5,0.001767,12.2,0.0,0.0,0.0,21.5548,2023,7,July,2023Q3,26,Saturday,True
2023-07-02,CMP-0001,536,1,0,6.06,0.0,0,0,0.5213,132.8,0.001866,6.06,0.0,0.0,0.0,11.306,2023,7,July,2023Q3,26,Sunday,True
2023-07-03,CMP-0001,895,5,0,2.81,0.0,1,0,0.63,73.0,0.005587,0.562,0.0,0.0,0.0,3.1397,2023,7,July,2023Q3,27,Monday,False
2023-02-02,CMP-0002,932,5,0,8.24,0.0,1,0,0.3107,292.3,0.005365,1.648,0.0,0.0,0.0,8.8412,2023,2,February,2023Q1,5,Thursday,False
2023-02-03,CMP-0002,959,4,0,9.13,0.0,0,0,0.5261,41.6,0.004171,2.2825,0.0,0.0,0.0,9.5203,2023,2,February,2023Q1,5,Friday,False
2023-02-04,CMP-0002,613,1,0,14.88,0.0,0,0,0.6661,157.0,0.001631,14.88,0.0,0.0,0.0,24.2741,2023,2,February,2023Q1,5,Saturday,True
2023-02-05,CMP-0002,602,1,0,10.75,0.0,0,0,0.7401,84.5,0.001661,10.75,0.0,0.0,0.0,17.8571,2023,2,February,2023Q1,5,Sunday,True
2023-02-06,CMP-0002,964,4,0,8.27,0.0,1,0,0.6897,261.2,0.004149,2.0675,0.0,0.0,0.0,8.5788,2023,2,February,2023Q1,6,Monday,False
2023-02-07,CMP-0002,1012,6,0,4.14,0.0,1,0,0.5039,248.9,0.005929,0.69,0.0,0.0,0.0,4.0909,2023,2,February,2023Q1,6,Tuesday,False
2023-02-08,CMP-0002,1005,4,0,4.24,0.0,1,0,0.4948,57.3,0.00398,1.06,0.0,0.0,0.0,4.2189,2023,2,February,2023Q1,6,Wednesday,False
2023-02-09,CMP-0002,921,4,0,8.08,0.0,1,0,0.4777,106.7,0.004343,2.02,0.0,0.0,0.0,8.7731,2023,2,February,2023Q1,6,Thursday,False
2023-02-10,CMP-0002,948,5,0,2.83,0.0,1,0,0.6378,27.4,0.005274,0.566,0.0,0.0,0.0,2.9852,2023,2,February,2023Q1,6,Friday,False
2023-02-11,CMP-0002,568,2,0,11.17,0.0,0,0,0.5818,248.9,0.003521,5.585,0.0,0.0,0.0,19.6655,2023,2,February,2023Q1,6,Saturday,True
2023-02-12,CMP-0002,592,2,0,14.71,0.0,0,0,0.5451,262.9,0.003378,7.355,0.0,0.0,0.0,24.848,2023,2,February,2023Q1,6,Sunday,True
2023-02-13,CMP-0002,968,6,0,13.11,0.0,1,0,0.6112,131.8,0.006198,2.185,0.0,0.0,0.0,13.5434,2023,2,February,2023Q1,7,Monday,False
2023-02-14,CMP-0002,960,5,0,9.82,0.0,1,0,0.4193,212.4,0.005208,1.964,0.0,0.0,0.0,10.2292,2023,2,February,2023Q1,7,Tuesday,False
2023-02-15,CMP-0002,908,5,0,9.75,0.0,1,0,0.44,105.2,0.005507,1.95,0.0,0.0,0.0,10.7379,2023,2,February,2023Q1,7,Wednesday,False
2023-02-16,CMP-0002,950,5,0,10.78,0.0,1,0,0.2842,194.9,0.005263,2.156,0.0,0.0,0.0,11.3474,2023,2,February,2023Q1,7,Thursday,False
2023-02-17,CMP-0002,960,4,0,13.81,0.0,1,0,0.2992,195.6,0.004167,3.4525,0.0,0.0,0.0,14.3854,2023,2,February,2023Q1,7,Friday,False
2023-02-18,CMP-0002,590,1,0,13.09,0.0,0,0,0.273,241.9,0.001695,13.09,0.0,0.0,0.0,22.1864,2023,2,February,2023Q1,7,Saturday,True
2023-02-19,CMP-0002,611,2,0,4.4,0.0,0,0,0.533,240.9,0.003273,2.2,0.0,0.0,0.0,7.2013,2023,2,February,2023Q1,7,Sunday,True
2023-02-20,CMP-0002,892,5,0,2.55,0.0,1,0,0.3704,275.2,0.005605,0.51,0.0,0.0,0.0,2.8587,2023,2,February,2023Q1,8,Monday,False
2023-02-21,CMP-0002,922,6,0,2.15,0.0,1,0,0.2547,244.3,0.006508,0.3583,0.0,0.0,0.0,2.3319,2023,2,February,2023Q1,8,Tuesday,False
2023-02-22,CMP-0002,994,5,0,13.52,0.0,0,0,0.4228,182.5,0.00503,2.704,0.0,0.0,0.0,13.6016,2023,2,February,2023Q1,8,Wednesday,False
2023-02-23,CMP-0002,976,5,0,9.58,0.0,0,0,0.3496,124.6,0.005123,1.916,0.0,0.0,0.0,9.8156,2023,2,February,2023Q1,8,Thursday,False
2023-02-24,CMP-0002,912,4,0,7.25,0.0,1,0,0.7463,99.1,0.004386,1.8125,0.0,0.0,0.0,7.9496,2023,2,February,2023Q1,8,Friday,False
2023-02-25,CMP-0002,587,3,0,14.67,0.0,0,0,0.5929,227.2,0.005111,4.89,0.0,0.0,0.0,24.9915,2023,2,February,2023Q1,8,Saturday,True
2023-02-26,CMP-0002,637,1,0,0.74,0.0,0,0,0.3931,242.7,0.00157,0.74,0.0,0.0,0.0,1.1617,2023,2,February,2023Q1,8,Sunday,True
2023-02-27,CMP-0002,938,5,0,9.11,0.0,1,0,0.5889,220.5,0.00533,1.822,0.0,0.0,0.0,9.7122,2023,2,February,2023Q1,9,Monday,False
2023-02-28,CMP-0002,986,4,0,9.89,0.0,1,0,0.5732,103.0,0.004057,2.4725,0.0,0.0,0.0,10.0304,2023,2,February,2023Q1,9,Tuesday,False
2023-03-01,CMP-0002,955,3,0,6.61,0.0,0,0,0.3976,228.0,0.003141,2.2033,0.0,0.0,0.0,6.9215,2023,3,March,2023Q1,9,Wednesday,False
2023-03-02,CMP-0002,1001,5,0,2.63,0.0,1,0,0.5154,275.3,0.004995,0.526,0.0,0.0,0.0,2.6274,2023,3,March,2023Q1,9,Thursday,False
2023-03-03,CMP-0002,950,5,0,12.46,0.0,1,0,0.6532,227.8,0.005263,2.492,0.0,0.0,0.0,13.1158,2023,3,March,2023Q1,9,Friday,False
2023-03-04,CMP-0002,645,2,0,5.08,0.0,0,0,0.7333,260.1,0.003101,2.54,0.0,0.0,0.0,7.876,2023,3,March,2023Q1,9,Saturday,True
2023-03-05,CMP-0002,623,2,0,10.86,0.0,0,0,0.4329,240.3,0.00321,5.43,0.0,0.0,0.0,17.4318,2023,3,March,2023Q1,9,Sunday,True
2023-03-06,CMP-0002,1039,6,0,0.21,0.0,1,0,0.5862,181.6,0.005775,0.035,0.0,0.0,0.0,0.2021,2023,3,March,2023Q1,10,Monday,False
2023-03-07,CMP-0002,995,6,0,12.34,0.0,0,0,0.2625,267.0,0.00603,2.0567,0.0,0.0,0.0,12.402,2023,3,March,2023Q1,10,Tuesday,False
2023-03-08,CMP-0002,1015,6,0,8.42,0.0,0,0,0.6619,274.2,0.005911,1.4033,0.0,0.0,0.0,8.2956,2023,3,March,2023Q1,10,Wednesday,False
2023-03-09,CMP-0002,1045,7,0,4.53,0.0,0,0,0.4022,155.4,0.006699,0.6471,0.0,0.0,0.0,4.3349,2023,3,March,2023Q1,10,Thursday,False
2023-03-10,CMP-0002,1001,4,0,1.46,0.0,0,0,0.5852,226.8,0.003996,0.365,0.0,0.0,0.0,1.4585,2023,3,March,2023Q1,10,Friday,False
2023-03-11,CMP-0002,630,2,0,14.19,0.0,0,0,0.4574,43.2,0.003175,7.095,0.0,0.0,0.0,22.5238,2023,3,March,2023Q1,10,Saturday,True
2023-03-12,CMP-0002,563,2,0,7.34,0.0,0,0,0.4353,141.4,0.003552,3.67,0.0,0.0,0.0,13.0373,2023,3,March,2023Q1,10,Sunday,True
2023-03-13,CMP-0002,1031,3,0,14.26,0.0,0,0,0.5222,293.7,0.00291,4.7533,0.0,0.0,0.0,13.8312,2023,3,March,2023Q1,11,Monday,False
2023-03-14,CMP-0002,1024,5,0,5.38,0.0,0,0,0.674,144.6,0.004883,1.076,0.0,0.0,0.0,5.2539,2023,3,March,2023Q1,11,Tuesday,False
2023-03-15,CMP-0002,1006,4,0,9.94,0.0,1,0,0.6434,84.4,0.003976,2.485,0.0,0.0,0.0,9.8807,2023,3,March,2023Q1,11,Wednesday,False
2023-03-16,CMP-0002,998,5,0,1.89,0.0,0,0,0.3536,76.5,0.00501,0.378,0.0,0.0,0.0,1.8938,2023,3,March,2023Q1,11,Thursday,False
2023-03-17,CMP-0002,995,4,0,13.05,0.0,0,0,0.2514,259.6,0.00402,3.2625,0.0,0.0,0.0,13.1156,2023,3,March,2023Q1,11,Friday,False
2023-03-18,CMP-0002,628,1,0,2.17,0.0,0,0,0.5805,22.3,0.001592,2.17,0.0,0.0,0.0,3.4554,2023,3,March,2023Q1,11,Saturday,True
2023-03-19,CMP-0002,657,2,0,0.22,0.0,0,0,0.3371,29.9,0.003044,0.11,0.0,0.0,0.0,0.3349,2023,3,March,2023Q1,11,Sunday,True
2023-03-20,CMP-0002,953,3,0,11.13,0.0,0,0,0.639,161.3,0.003148,3.71,0.0,0.0,0.0,11.6789,2023,3,March,2023Q1,12,Monday,False
2023-03-21,CMP-0002,999,5,0,1.64,0.0,1,0,0.6416,262.1,0.005005,0.328,0.0,0.0,0.0,1.6416,2023,3,March,2023Q1,12,Tuesday,False
2023-03-22,CMP-0002,999,4,0,7.82,0.0,1,0,0.4895,129.5,0.004004,1.955,0.0,0.0,0.0,7.8278,2023,3,March,2023Q1,12,Wednesday,False
2023-03-23,CMP-0002,985,6,0,10.29,0.0,2,0,0.2904,188.4,0.006091,1.715,0.0,0.0,0.0,10.4467,2023,3,March,2023Q1,12,Thursday,False
2023-03-24,CMP-0002,911,6,0,0.99,0.0,1,0,0.4126,298.5,0.006586,0.165,0.0,0.0,0.0,1.0867,2023,3,March,2023Q1,12,Friday,False
2023-03-25,CMP-0002,659,1,0,7.96,0.0,0,0,0.6009,258.0,0.001517,7.96,0.0,0.0,0.0,12.0789,2023,3,March,2023Q1,12,Saturday,True
2023-03-26,CMP-0002,631,1,0,9.76,0.0,0,0,0.4758,80.1,0.001585,9.76,0.0,0.0,0.0,15.4675,2023,3,March,2023Q1,12,Sunday,True
2023-03-27,CMP-0002,957,5,0,5.08,0.0,1,0,0.4634,204.6,0.005225,1.016,0.0,0.0,0.0,5.3083,2023,3,March,2023Q1,13,Monday,False
2023-03-28,CMP-0002,1007,7,0,5.61,0.0,2,0,0.6659,41.6,0.006951,0.8014,0.0,0.0,0.0,5.571,2023,3,March,2023Q1,13,Tuesday,False
2023-03-29,CMP-0002,981,3,0,1.45,0.0,1,0,0.5432,175.1,0.003058,0.4833,0.0,0.0,0.0,1.4781,2023,3,March,2023Q1,13,Wednesday,False
2023-03-30,CMP-0002,1010,6,0,4.94,0.0,1,0,0.6251,262.4,0.005941,0.8233,0.0,0.0,0.0,4.8911,2023,3,March,2023Q1,13,Thursday,False
2023-03-31,CMP-0002,929,5,0,10.82,0.0,1,0,0.539,75.6,0.005382,2.164,0.0,0.0,0.0,11.6469,2023,3,March,2023Q1,13,Friday,False
2023-04-01,CMP-0002,689,2,0,9.85,0.0,0,0,0.4338,232.3,0.002903,4.925,0.0,0.0,0.0,14.2961,2023,4,April,2023Q2,13,Saturday,True
2023-04-02,CMP-0002,636,2,0,8.61,0.0,0,0,0.6592,189.9,0.003145,4.305,0.0,0.0,0.0,13.5377,2023,4,April,2023Q2,13,Sunday,True
2023-04-03,CMP-0002,1085,8,0,9.64,0.0,3,0,0.3837,66.4,0.007373,1.205,0.0,0.0,0.0,8.8848,2023,4,April,2023Q2,14,Monday,False
2023-04-04,CMP-0002,976,3,0,10.54,0.0,0,0,0.6849,176.4,0.003074,3.5133,0.0,0.0,0.0,10.7992,2023,4,April,2023Q2,14,Tuesday,False
2023-04-05,CMP-0002,946,5,0,6.01,0.0,1,0,0.6231,76.3,0.005285,1.202,0.0,0.0,0.0,6.3531,2023,4,April,2023Q2,14,Wednesday,False
2023-04-06,CMP-0002,1053,5,0,6.3,0.0,1,0,0.6384,176.8,0.004748,1.26,0.0,0.0,0.0,5.9829,2023,4,April,2023Q2,14,Thursday,False
2023-04-07,CMP-0002,962,4,0,1.27,0.0,0,0,0.587,92.5,0.004158,0.3175,0.0,0.0,0.0,1.3202,2023,4,April,2023Q2,14,Friday,False
2023-04-08,CMP-0002,652,2,0,9.93,0.0,0,0,0.6275,47.4,0.003067,4.965,0.0,0.0,0.0,15.2301,2023,4,April,2023Q2,14,Saturday,True
2023-04-09,CMP-0002,628,2,0,6.45,0.0,0,0,0.5836,27.9,0.003185,3.225,0.0,0.0,0.0,10.2707,2023,4,April,2023Q2,14,Sunday,True
2023-04-10,CMP-0002,1039,6,0,5.93,0.0,0,0,0.3556,54.1,0.005775,0.9883,0.0,0.0,0.0,5.7074,2023,4,April,2023Q2,15,Monday,False
2025-01-03,CMP-0003,13153,172,4,461.25,178.59,17,2,0.3378,123.4,0.013077,2.6817,115.3125,0.3872,0.023256,35.068,2025,1,January,2025Q1,1,Friday,False
2025-01-04,CMP-0003,13109,112,3,301.67,168.8,39,6,0.286,260.6,0.008544,2.6935,100.5567,0.5596,0.026786,23.0124,2025,1,January,2025Q1,1,Saturday,True
2025-01-05,CMP-0003,7923,83,2,370.08,47.53,31,5,0.5379,178.4,0.010476,4.4588,185.04,0.1284,0.024096,46.7096,2025,1,January,2025Q1,1,Sunday,True
2025-01-06,CMP-0003,17826,207,5,408.39,253.47,27,1,0.4124,243.4,0.011612,1.9729,81.678,0.6207,0.024155,22.9098,2025,1,January,2025Q1,2,Monday,False
2025-01-07,CMP-0003,20865,305,9,513.87,707.96,114,7,0.6722,84.3,0.014618,1.6848,57.0967,1.3777,0.029508,24.6283,2025,1,January,2025Q1,2,Tuesday,False
2025-01-08,CMP-0003,17613,223,5,444.46,289.34,48,4,0.4198,109.9,0.012661,1.9931,88.892,0.651,0.022422,25.2348,2025,1,January,2025Q1,2,Wednesday,False
2025-01-09,CMP-0003,11343,143,3,443.02,170.87,19,2,0.703,114.6,0.012607,3.098,147.6733,0.3857,0.020979,39.0567,2025,1,January,2025Q1,2,Thursday,False
2025-01-10,CMP-0003,24998,402,13,564.98,1011.13,138,11,0.3232,71.2,0.016081,1.4054,43.46,1.7897,0.032338,22.601,2025,1,January,2025Q1,2,Friday,False
2025-01-11,CMP-0003,13764,134,4,343.42,295.26,39,2,0.6364,155.8,0.009736,2.5628,85.855,0.8598,0.029851,24.9506,2025,1,January,2025Q1,2,Saturday,True
2025-01-12,CMP-0003,15472,151,4,342.71,295.17,35,6,0.5322,196.1,0.00976,2.2696,85.6775,0.8613,0.02649,22.1503,2025,1,January,2025Q1,2,Sunday,True
2025-01-13,CMP-0003,23842,396,13,584.13,1050.88,114,8,0.2841,141.0,0.016609,1.4751,44.9331,1.7991,0.032828,24.5,2025,1,January,2025Q1,3,Monday,False
2025-01-14,CMP-0003,13997,185,5,465.14,205.2,21,2,0.4052,143.8,0.013217,2.5143,93.028,0.4412,0.027027,33.2314,2025,1,January,2025Q1,3,Tuesday,False
2025-01-15,CMP-0003,11525,172,5,526.36,393.2,21,3,0.6776,190.3,0.014924,3.0602,105.272,0.747,0.02907,45.6711,2025,1,January,2025Q1,3,Wednesday,False
2025-01-16,CMP-0003,16032,198,5,434.45,268.67,52,8,0.6979,143.2,0.01235,2.1942,86.89,0.6184,0.025253,27.0989,2025,1,January,2025Q1,3,Thursday,False
2025-01-17,CMP-0003,23178,325,9,493.22,598.49,63,7,0.3254,32.6,0.014022,1.5176,54.8022,1.2134,0.027692,21.2797,2025,1,January,2025Q1,3,Friday,False
2025-01-18,CMP-0003,6732,55,1,287.08,83.19,11,1,0.5023,64.2,0.00817,5.2196,287.08,0.2898,0.018182,42.6441,2025,1,January,2025Q1,3,Saturday,True
2025-01-19,CMP-0003,8490,72,2,300.47,104.1,16,2,0.3294,121.3,0.008481,4.1732,150.235,0.3465,0.027778,35.391,2025,1,January,2025Q1,3,Sunday,True
2025-01-20,CMP-0003,15254,225,7,518.32,350.64,45,6,0.6446,199.5,0.01475,2.3036,74.0457,0.6765,0.031111,33.9793,2025,1,January,2025Q1,4,Monday,False
2025-01-21,CMP-0003,8598,94,2,387.39,57.76,28,2,0.6119,202.1,0.010933,4.1212,193.695,0.1491,0.021277,45.0558,2025,1,January,2025Q1,4,Tuesday,False
2025-01-22,CMP-0003,32989,617,24,657.02,1954.71,123,16,0.3207,114.7,0.018703,1.0649,27.3758,2.9751,0.038898,19.9163,2025,1,January,2025Q1,4,Wednesday,False
2025-01-23,CMP-0003,19334,203,4,369.99,278.59,44,6,0.719,103.2,0.0105,1.8226,92.4975,0.753,0.019704,19.1368,2025,1,January,2025Q1,4,Thursday,False
2025-01-24,CMP-0003,11417,114,2,350.71,151.87,39,5,0.6645,225.6,0.009985,3.0764,175.355,0.433,0.017544,30.7182,2025,1,January,2025Q1,4,Friday,False
2025-01-25,CMP-0003,15554,160,5,363.03,290.16,47,5,0.4309,118.3,0.010287,2.2689,72.606,0.7993,0.03125,23.34,2025,1,January,2025Q1,4,Saturday,True
2025-01-26,CMP-0003,8880,86,2,341.43,73.92,33,4,0.3633,54.2,0.009685,3.9701,170.715,0.2165,0.023256,38.4493,2025,1,January,2025Q1,4,Sunday,True
2025-01-27,CMP-0003,11760,174,5,521.01,397.49,22,3,0.6676,266.8,0.014796,2.9943,104.202,0.7629,0.028736,44.3036,2025,1,January,2025Q1,5,Monday,False
2025-01-28,CMP-0003,11084,164,5,521.4,226.16,54,3,0.4384,61.2,0.014796,3.1793,104.28,0.4338,0.030488,47.0408,2025,1,January,2025Q1,5,Tuesday,False
2025-01-29,CMP-0003,22045,290,8,462.05,596.39,99,7,0.4688,132.1,0.013155,1.5933,57.7562,1.2907,0.027586,20.9594,2025,1,January,2025Q1,5,Wednesday,False
2025-01-30,CMP-0003,16170,175,4,380.07,154.13,40,3,0.6243,142.9,0.010823,2.1718,95.0175,0.4055,0.022857,23.5046,2025,1,January,2025Q1,5,Thursday,False
2025-01-31,CMP-0003,17774,238,6,470.21,260.33,81,9,0.6676,119.8,0.01339,1.9757,78.3683,0.5536,0.02521,26.4549,2025,1,January,2025Q1,5,Friday,False
2025-02-01,CMP-0003,14128,102,2,254.84,177.9,24,2,0.4409,165.3,0.00722,2.4984,127.42,0.6981,0.019608,18.0379,2025,2,February,2025Q1,5,Saturday,True
2025-02-02,CMP-0003,19769,198,7,352.24,543.48,67,4,0.375,197.7,0.010016,1.779,50.32,1.5429,0.035354,17.8178,2025,2,February,2025Q1,5,Sunday,True
2025-02-03,CMP-0003,23747,304,8,449.57,479.45,39,6,0.6756,96.2,0.012802,1.4788,56.1962,1.0665,0.026316,18.9317,2025,2,February,2025Q1,6,Monday,False
2025-02-04,CMP-0003,18889,208,5,386.72,204.57,77,5,0.4687,284.7,0.011012,1.8592,77.344,0.529,0.024038,20.4733,2025,2,February,2025Q1,6,Tuesday,False
2025-02-05,CMP-0003,12766,157,4,433.42,211.8,32,1,0.2766,158.1,0.012298,2.7606,108.355,0.4887,0.025478,33.9511,2025,2,February,2025Q1,6,Wednesday,False
2025-02-06,CMP-0003,15017,214,6,501.44,537.78,45,2,0.7154,254.2,0.014251,2.3432,83.5733,1.0725,0.028037,33.3915,2025,2,February,2025Q1,6,Thursday,False
2025-02-07,CMP-0003,18407,215,5,410.97,379.59,30,2,0.6649,213.4,0.01168,1.9115,82.194,0.9236,0.023256,22.3268,2025,2,February,2025Q1,6,Friday,False
2025-02-08,CMP-0003,6520,45,1,246.29,70.12,10,0,0.2896,87.9,0.006902,5.4731,246.29,0.2847,0.022222,37.7745,2025,2,February,2025Q1,6,Saturday,True
2025-02-09,CMP-0003,15894,140,4,309.12,238.18,44,5,0.3056,97.1,0.008808,2.208,77.28,0.7705,0.028571,19.4488,2025,2,February,2025Q1,6,Sunday,True
2025-02-10,CMP-0003,15689,217,6,485.88,154.34,49,8,0.4786,46.6,0.013831,2.2391,80.98,0.3177,0.02765,30.9695,2025,2,February,2025Q1,7,Monday,False
2023-01-07,CMP-0004,8582,97,1,102.64,167.41,10,1,0.371,55.9,0.011303,1.0581,102.64,1.631,0.010309,11.9599,2023,1,January,2023Q1,1,Saturday,True
2023-01-08,CMP-0004,5915,67,0,103.46,0.0,11,1,0.5822,39.4,0.011327,1.5442,0.0,0.0,0.0,17.4911,2023,1,January,2023Q1,1,Sunday,True
2023-01-09,CMP-0004,16430,340,5,187.82,360.91,87,10,0.7442,172.9,0.020694,0.5524,37.564,1.9216,0.014706,11.4315,2023,1,January,2023Q1,2,Monday,False
